?qid	?name
Q114390828	"Ryan Tracy"@de
Q114413748	"Dion Nissenbaum"@de
Q1144214	"Robert Heilbroner"@ast
Q114450335	"Sara Marcketti"@en
Q1145362	"Curt Weldon"@ast
Q114562985	"Gail H. Cassell"@en
Q114564894	"Dale Haney"@de
Q114644173	"Devlin Barrett"@de
Q114684880	"Susan Carey"@de
Q114690516	"Steve Cortes"@en
Q114690748	"Mark Dankof"@en
Q114712233	"John D. McKinnon"@de
Q114714272	"Myron Brilliant"@en
Q1147285	"Pedro Rossello"@sq
Q114797628	"Brody Mullins"@de
Q114797705	"Andrew Restuccia"@de
Q114831547	"Richard F. Corlin"@ast
Q114832300	"Yank D. Coble"@ast
Q114833051	"William G. Plested III"@en
Q114834062	"Robert M. Wah"@ast
Q114837217	"Daniel A. Lashof"@en
Q114848332	"Bernard Edward Powers"@de
Q114857437	"Kiana Cox"@en
Q114861424	"James Gordon Meek"@ca
Q1148669	"Cyrillus Ramaphosa"@la
Q114891061	"Paula Akana"@en
Q114899735	"C.J. Blew"@en
Q114914258	"James Zortman"@en
Q115019854	"Theodore Hershberg"@de
Q115046801	"Ken Thomas"@de
Q115103094	"Rudy Bouma"@de
Q115137377	"Cory Mills"@ast
Q115137719	"Rudy Yakym"@ast
Q115148600	"Zooey Zephyr"@ast
Q115170395	"George Santos"@ast
Q115177238	"Adrian Fontes"@en
Q115181700	"Chris Deluzio"@ast
Q1151854	"Lally Weymouth"@ast
Q115220916	"Juan Ciscomani"@ast
Q115244319	"Patrick J. Webber"@en
Q115271256	"Jack Smith"@ca
Q115327457	"Katherine Christoffel"@en
Q115352047	"Simon Taylor"@ast
Q115367	"Max Frankel"@ast
Q115451989	"Diane L. Rosenfeld"@en
Q115474083	"Rich McCormick"@ast
Q115487791	"Jack Sheinkman"@en
Q115496109	"Monica De La Cruz"@ast
Q115504585	"Jacqueline Cabasso"@ast
Q115559765	"John Rhodehamel"@de
Q1156395	"Peter Lynch"@ast
Q115699181	"Kimberly Orcutt"@en
Q115783006	"Kristin Ann Hass"@en
Q115806750	"Mike Collins"@ast
Q1158992	"Dan Benishek"@ast
Q1159099	"Dan Kurzman"@ast
Q1159112	"Dan Maffei"@ast
Q1159125	"Dan Miller"@ast
Q115920768	"Steven Morrison"@en
Q1159861	"Daniel A. Mica"@de
Q1159888	"Daniel Akerson"@ast
Q1160089	"Daniel Berrigan"@af
Q11607	"Džons Hantsmens"@lv
Q1161029	"Daniel Hamburg"@ast
Q11613	"Harijs Trumens"@lv
Q1161808	"Daniel Mongiardo"@ast
Q1162522	"Daniel Schaefer"@ast
Q116263447	"Tirana Hassan"@de
Q1163099	"Daniel Webster"@af
Q116464	"James George Stavridis"@cs
Q1164657	"Danny K. Davis"@ast
Q1164977	"Dante Fascell"@ast
Q116653946	"John Overbey"@de
Q1166592	"Darrell Issa"@ast
Q116671696	"Heather Kendall-Miller"@en
Q116671711	"Natalie Landreth"@en
Q116672581	"Reeta Roy"@en
Q116679	"Daniel Vasella"@ast
Q11668	"Niki Hejli"@sr
Q11669	"Marcus Sanford"@la
Q11670	"Iacobus Hovis Hodges"@la
Q11671	"David Beasley"@an
Q11672	"Carroll A. Campbell"@fi
Q11673	"Andreas Cuomo"@la
Q11674	"David Paterson"@an
Q116743755	"Mindy Fetterman"@de
Q116743901	"Al Cross"@de
Q11675	"Eliot Spitzer"@an
Q11676	"George E. Pataki"@fr
Q116765987	"Alexander Triantis"@ast
Q1167733	"Ira Berlin"@ast
Q116775462	"Murray Galinson"@ast
Q116788149	"Ian Rowe"@de
Q1167934	"JoaquÃ­n Castro"@yo
Q116795802	"Neal Mohan"@br
Q116813780	"Henry Thomson"@de
Q11686474	"Juan Gonzalez"@ca
Q116867056	"Katherine Brittain Bradley"@de
Q116872361	"Bill Walton"@de
Q116887290	"Jennifer Block"@de
Q116890779	"Yoel Roth"@en
Q11691402	"María Cristina Perceval"@ca
Q11693671	"Mortimer B. Zuckerman"@ca
Q11696169	"Edward E. Baptist"@ast
Q116965	"Arthur Dunkel"@ast
Q1170156	"Pete Geren"@ast
Q11702	"Džons Beiners"@lv
Q117193692	"David A. Clary"@en
Q117195541	"Christopher Freeze"@ast
Q11727193	"Jim Martin"@ast
Q1173090	"Dave Amram"@de
Q1173285	"Dave McCurdy"@ast
Q11735	"Michael Spindelegger"@af
Q117353077	"Alan Cullison"@ast
Q1173550	"D. Allan Bromley"@fi
Q1173662	"David Barton"@ast
Q1173810	"David Bradford"@ast
Q117383160	"Andrew Duehren"@de
Q1173832	"David Brion Davis"@af
Q1173953	"David Cay Johnston"@ast
Q1174029	"David Cobb"@ast
Q1174126	"David Curson"@ast
Q1174197	"David Denby"@ast
Q1174268	"David Durenberger"@ast
Q1174271	"David Bonior"@cs
Q1174291	"David E. Sanger"@ast
Q1174383	"David F. Girard-diCarlo"@ast
Q1174481	"David Frum"@ast
Q1174484	"David Funderburk"@ast
Q1174579	"David Graeber"@af
Q1174598	"David Gregory"@ast
Q117463826	"Joanne Drake"@en
Q1174641	"David H. Koch"@af
Q1174685	"David Hackworth"@ast
Q117473132	"Jonathan C. Coopersmith"@en
Q1174815	"David Ignatius"@ast
Q1174836	"David J. Skorton"@ast
Q1175064	"David L. Gunn"@ast
Q1175376	"David Cote"@sv
Q1175392	"David M. McIntosh"@ast
Q1175610	"David McKinley"@ast
Q1175694	"David Minge"@ast
Q1175984	"David Oshinsky"@ast
Q1176154	"David Plouffe"@ast
Q1176215	"David Quammen"@ast
Q1176239	"David R. Nagle"@ast
Q1176307	"David Remnick"@ast
Q1176340	"David Rivera"@ast
Q1176391	"David J. Rothkopf"@ee
Q1176453	"David Addington"@ast
Q1176464	"David S. Mann"@ast
Q1176475	"David S. Rohde"@ca
Q1176498	"David Satcher"@ast
Q1176550	"David Schoenbrun"@ast
Q1176561	"David Schweikert"@ast
Q1176676	"David Smith Monson"@ast
Q1176745	"David Stockman"@ast
Q1177024	"David W. Ogden"@ast
Q1177127	"David E. Weinstein"@da
Q1177166	"David Wilhelm"@ast
Q117804769	"John D. Leshy"@de
Q117839836	"Satia Orange"@en
Q117860150	"Erin Reed"@ca
Q117884617	"Duane Webster"@en
Q11792924	"Norman Polmar"@ast
Q117992992	"Vicky M. Wilkins"@en
Q118000329	"Barbara Romzek"@en
Q1181077	"Dean Gallo"@ast
Q1181444	"Debby Applegate"@ast
